_id,factory id,serial number,weight,gate id
6086642699b37edb3df5783b,11100,2701,410,
6086643f9c7348cde224e8ba,11100,2701,410,
6086646a4f41deecda4f8512,11100,2701,410,
6086649882d506a33f75638c,11100,2701,410,
6086652aab7b6dea67a5f736,11100,2701,410,
6086658a2bb8551a50198bec,11100,2701,410,
608667a67276868abbb07ee2,11100,2701,410,
60866965be37384479ea6617,1100ee00e2000020671000,79240032a715ce,0,
60866972be37384479ea6619,1100ee00e2000020671000,79240032a715ce,0,
608669e0be37384479ea661b,1100ee00e2000020671000,79240032a715ce,0,
608669eebe37384479ea661d,1100ee00e20043b0cc84bb,49eccd1e815d88,0,
60866a4576cb5bfb00c0fadb,1100ee00e20043b0cc84bb,49eccd1e815d88,290,
60866a5476cb5bfb00c0fadd,1100ee00e20043b0cc84bb,49eccd1e815d88,72630,
60866a8276cb5bfb00c0fadf,1100ee00e20043b0cc8587,09eccd21b0ee35,40,
60866a9176cb5bfb00c0fae1,1100ee00e20043b0cc8587,09eccd21b0ee35,0,
60866b004c1f615950a6e50c,1100ee00e20043b0cc8587,09eccd21b0ee35,74660,
60866b114c1f615950a6e50e,1100ee00e20043b0cbc37b,89eccb561412c5,590,
60866b2d4c1f615950a6e510,1100ee00e20043b0cbc37b,89eccb561412c5,1990,
60866b484c1f615950a6e512,1100ee00e20043b0cb8524,89ecca5cb8fbef,710,
60866b5a4c1f615950a6e514,1100ee00e20043b0cb8466,c9ecca59c1752b,910,
60866f3c92d0c378cac7e945,11100,2701,410,15.0
608670e78b5bbbd4a501560e,11100,2701,410,15.0
6086711ba9831fc6e15d6015,1100ee00e2000020671000,79240032a715ce,74710,15.0
6086741ee8a8ab807457e74d,1100ee00e2000020671000,79240032a715ce,40,16.0
60867429e8a8ab807457e74f,1100ee00e2000020671000,79240032a715ce,74620,16.0
60867992e727085256b5d89e,1100ee00e2000020671000,79240032a715ce,0,16.0
6086799ee727085256b5d8a0,1100ee00e2000020671000,79240032a715ce,72600,16.0
608679ade727085256b5d8a2,1100ee00e20043b0cc8587,09eccd21b0ee35,74830,16.0
608679b6e727085256b5d8a4,1100ee00e20043b0cc84bb,49eccd1e815d88,0,16.0
608679c2e727085256b5d8a6,1100ee00e20043b0cc84bb,49eccd1e815d88,72560,16.0
608679d1e727085256b5d8a8,1100ee00e20043b0cbc37b,89eccb561412c5,580,16.0
608679f0e727085256b5d8aa,1100ee00e20043b0cc81ea,09eccd133c8023,0,16.0
60867a07e727085256b5d8ac,1100ee00e20043b0cb8524,89ecca5cb8fbef,2000,16.0
60867a1ce727085256b5d8ae,1100ee00e20043b0cb8524,89ecca5cb8fbef,710,16.0
60867a2ce727085256b5d8b0,1100ee00e20043b0cb8466,c9ecca59c1752b,910,16.0
60876ae5fe167334be77c7e8,1100ee00e20043b0cb8524,89ecca5cb8fbef,710,9.0
60876afafe167334be77c7ea,1100ee00e20043b0cb8466,c9ecca59c1752b,910,9.0
60876b0dfe167334be77c7ec,1100ee00e20043b0cb8466,c9ecca59c1752b,1990,9.0
60876b40fe167334be77c7ee,1100ee00e20043b0cbc37b,89eccb561412c5,590,9.0
60876c8ecca53a19685ab47c,1100ee00e20043b0cc8587,09eccd21b0ee35,75400,9.0
60876ed6cca53a19685ab47e,1100ee00e20043b0cc84bb,49eccd1e815d88,71880,9.0
